Bachelier, Florian - 2019-01-07-17:04:17 >> participationDirigeantDto >> activite,cabinet d'avocats
Foveau, Tristan - 2021-11-09-18:24:33 >> activProfCinqDerniereDto >> item >> description,Elève-avocat stagiaire
Houlié, Sacha - 2017-07-31-10:46:31 >> activProfCinqDerniereDto >> employeur,Avocat libéral
BOLE, Cédric - 2020-09-03-22:18:31 >> activProfConjointDto >> employeurConjoint,Etude d'Avocats 
        [Données non publiées]
ABADIE, Caroline - 2017-08-15-15:48:06 >> activCollaborateursDto >> DAVID FLORENCE >> employeur,ASSOCIEE DANS UN CABINET D'AVOCATS
Bachelier, Florian - 2021-01-27-18:47:23 >> participationDirigeantDto >> activite,cabinet d'avocats
THOUROT, Alice - 2017-11-30-13:14:22 >> activProfCinqDerniereDto >> item >> description,AVOCAT
vabre, caroline - 2021-08-07-11:25:17 >> activProfCinqDerniereDto >> description,Profession libérale AVOCAT exercée à titre individuel
MAZARS, stéphane - 2019-08-30-10:44:26 >> participationDirigeantDto >> item >> commentaire,je suis co-gérant avec mes associés de la SCI propriétaire du cabinet d'avocats.
Questel, Bruno - 2019-01-16-17:55:11 >> activProfCinqDerniereDto >> description,Avocat
Masquelier, Frédéric - 2020-08-20-10:37:29 >> participationFinanciereDto >> commentaire,les rémunérations proviennent de l'activité d'avocat. Des participations sont aussi détenues dans la SCI 
        [Données non publiées]
    , 
        [Données non publiées]
    ainsi que de la SCI 
        [Données non publiées]
     qui gérait les bureaux
        [Données non publiées]
Albertini, Xavier - 2020-08-18-09:17:56 >> activProfCinqDerniereDto >> item >> description,Avocat Associé Droit Fiscal/Droit Sociétés
THOUROT, Alice - 2017-08-18-09:02:12 >> participationDirigeantDto >> item >> activite,AVOCATS
Grelier, Jean Carles - 2017-08-08-10:22:01 >> activProfCinqDerniereDto >> item >> description,Avocat
MAZARS, stéphane - 2017-10-30-15:19:22 >> participationDirigeantDto >> item >> nomSociete,SCP d'avocats
pericard, arnaud - 2020-09-30-16:35:30 >> participationDirigeantDto >> item >> activite,cabinet d'avocats
Auslender, Jérôme - 2020-09-15-12:26:32 >> participationFinanciereDto >> nomSociete,LKJ AVOCATS
Auslender, Jérôme - 2021-08-03-14:44:35 >> activProfCinqDerniereDto >> item >> description,Avocat
BILLOUDET, GUY - 2020-12-17-15:09:02 >> activProfConjointDto >> employeurConjoint,Avocat -
LEROY, Sebastien - 2020-10-27-15:57:54 >> participationFinanciereDto >> nomSociete,SELARL LEGIPOLIS AVOCATS
MICHEL, Jean-Paul - 2021-10-14-11:12:24 >> activProfConjointDto >> activiteProf,AVOCAT
LEROY, Sebastien - 2020-07-21-20:52:25 >> activProfCinqDerniereDto >> description,Avocat
GOULET, NATHALIE - 2020-09-03-10:22:54 >> activProfCinqDerniereDto >> item >> commentaire,Le contrat avec le Cabinet Shefet a été résilié le 25 juillet 2018 Cessation d'activité d'avocat le 15 octobre 2018
VIRY, Stéphane - 2017-08-04-09:51:03 >> participationFinanciereDto >> commentaire,SCP d'Avocats constituée en mars 2017
